player,betweenness,degree,eigenvector,passes
Thiago Emiliano da Silva,0.2792592592592593,1.8,,26
Fernando Luiz Roza,0.17925925925925926,1.5,,25
Marcelo Vieira da Silva Júnior,0.13425925925925927,1.3,,32
Willian Borges da Silva,0.13222222222222224,1.3,,15
Neymar da Silva Santos Junior,0.1272222222222222,1.4000000000000001,,25
Philippe Coutinho Correia,0.06574074074074075,1.4000000000000001,,34
Gabriel Fernando de Jesus,0.05814814814814815,0.6000000000000001,,3
José Paulo Bezzera Maciel Júnior,0.03333333333333333,1.3,,22
João Miranda de Souza Filho,0.001851851851851852,1.2000000000000002,,22
Fágner Conserva Lemos,0.0,0.7000000000000001,,17
Alisson Ramsés Becker,0.0,0.1,,1
